merchant_id,gpv_monthly,quota_attainment,tenure_months,support_tickets_30d,failed_payouts_30d,merchant_tier,churned
MCH-10045,59312.78992824902,1.0627160875029933,8,2,0,SMB,0
MCH-10046,23677.329082881184,0.9387644547870649,55,3,0,SMB,0
MCH-10047,41705.54479546143,0.9815222643882032,34,2,1,SMB,0
MCH-10048,44561.18989908988,0.7678867798299145,59,1,2,SMB,0
MCH-10049,15219.429975395287,0.9712439619065336,16,1,0,Enterprise,0
MCH-10050,179640.3566368113,0.6173114962463261,41,2,2,Mid-Market,0
MCH-10051,79612.26885690705,1.2856918370964145,13,1,0,Mid-Market,0
MCH-10052,145254.72096457912,0.6043546501685786,23,3,1,SMB,0
MCH-10053,117607.59987670984,0.4934629188784131,12,2,0,SMB,0
MCH-10054,50552.72061916375,0.8798706289928732,27,1,2,SMB,0
MCH-10055,132471.76896347024,1.1241381834566682,22,3,0,Mid-Market,0
MCH-10056,9632.772947655782,0.8814885074268956,32,3,0,SMB,0
MCH-10057,15906.734731563372,0.7044295451464395,57,4,3,Mid-Market,0
MCH-10058,7314.098284341598,1.0139883022794849,49,0,0,SMB,0
MCH-10059,24676.604340154343,0.78170256895342,27,4,1,SMB,0
MCH-10060,29606.51458971093,1.4261544591392963,2,2,1,SMB,0
MCH-10061,20828.022160441287,1.4149096535639294,45,2,0,Mid-Market,0
MCH-10062,93227.8932620467,0.9526090019693051,33,0,1,SMB,0
MCH-10063,27061.349976493508,0.7606723934200844,26,1,1,SMB,0
MCH-10064,21490.14200671246,1.210845655352303,28,4,1,Enterprise,0
MCH-10065,44120.3541603873,0.4403842378313733,19,2,0,Mid-Market,0
MCH-10066,12594.907391031444,0.9222459066480164,43,3,0,SMB,0
MCH-10067,86024.17978873657,0.7699557336973669,5,2,0,SMB,1
MCH-10068,8873.79344056545,1.4125894736128104,33,7,0,SMB,0
MCH-10069,221707.31697936598,0.4132033299999508,20,2,1,SMB,0
MCH-10070,78974.18881207558,1.008096363290184,30,3,0,Mid-Market,0
MCH-10071,16076.972025294297,1.2147299391732886,45,0,0,SMB,0
MCH-10072,5276.871018796774,0.9335197862764454,8,2,0,Mid-Market,0
MCH-10073,89494.8388743063,0.49394333317899386,38,3,1,SMB,0
MCH-10074,66354.79536935224,1.4697075290306927,17,3,0,SMB,0
MCH-10075,70283.14543939994,0.9698114745137077,44,3,1,Enterprise,0
MCH-10076,78760.72630217567,1.0756048687509125,1,3,1,SMB,1
MCH-10077,8846.463275689817,0.6602707609782581,3,1,0,Mid-Market,0
MCH-10078,27194.633620811623,0.9318478936174842,46,2,0,Mid-Market,0
MCH-10079,11157.505230222483,0.872064441154154,26,2,0,SMB,0
MCH-10080,104426.47858291114,0.48238542620218217,31,1,1,SMB,0
MCH-10081,53815.05958561871,0.516776388902214,8,1,0,SMB,0
MCH-10082,25090.94006256505,1.321219771580652,43,3,0,Enterprise,0
MCH-10083,8283.403290239145,0.6638019474272493,59,4,0,SMB,0
MCH-10084,23624.417520517687,0.6144540986484937,46,1,1,SMB,0
MCH-10085,24665.71065920657,0.9554025963751532,8,0,2,SMB,0
MCH-10086,70393.78919788703,1.2456218444987643,35,2,1,Mid-Market,0
MCH-10087,55744.467946300996,0.46814117043688674,39,1,0,SMB,0
MCH-10088,114112.59562007574,1.0344887116020813,28,2,0,SMB,0
MCH-10089,36953.306668815494,0.5311314871246308,51,3,0,Enterprise,0
MCH-10090,11368.619680775095,0.44010715590818034,4,2,1,SMB,0
MCH-10091,67456.31721582997,0.45801834737843916,57,0,1,SMB,0
MCH-10092,76519.63765384321,1.3175805190292855,16,1,1,Mid-Market,0
MCH-10093,46194.37474429144,0.5297697319908677,13,1,1,Mid-Market,0
MCH-10094,78694.49833606822,0.44966650085352117,20,0,2,SMB,0
MCH-10095,39040.736575513896,0.8816898758572036,51,4,0,SMB,0
MCH-10096,41983.941938863354,1.3283928191362273,5,1,0,SMB,0
MCH-10097,32890.70969542136,0.6886492141382321,55,2,1,SMB,0
MCH-10098,6287.388699505686,0.8638838792785081,37,0,0,Mid-Market,0
MCH-10099,10708.371759593292,0.4439147858201264,20,4,0,SMB,0
MCH-10100,6596.684064652691,0.8939863655483635,24,0,0,Mid-Market,0
MCH-10101,55586.47754637747,1.035374388700847,36,1,0,SMB,0
MCH-10102,23869.835439754992,1.0279977591273592,34,2,0,Mid-Market,0
MCH-10103,40521.85885670951,0.7656693613918018,58,3,0,SMB,0
MCH-10104,124063.27649229877,0.7470864987294491,45,1,0,Enterprise,0
MCH-10105,19336.941149164915,0.5172859808302577,48,2,0,SMB,0
MCH-10106,31414.09874413363,0.8034781527108953,54,4,0,Mid-Market,0
MCH-10107,75437.45737692917,0.5094441357602612,34,6,1,SMB,0
MCH-10108,17990.257845869703,1.2432555391832567,19,0,1,SMB,0
MCH-10109,9005.21392750882,1.4629017275230045,17,1,0,Mid-Market,0
MCH-10110,22107.015194352854,1.4670819023333777,5,1,0,SMB,0
MCH-10111,13790.417925003143,1.3515782093129332,25,2,0,SMB,0
MCH-10112,137747.50429403124,1.0608713642735812,18,0,1,Mid-Market,0
MCH-10113,87544.35402422847,1.1709522669682682,55,3,2,Mid-Market,0
MCH-10114,55174.70952602655,0.7137263829484555,53,5,0,SMB,0
MCH-10115,107575.98652604065,1.0938474621898828,50,1,0,SMB,0
MCH-10116,86398.44703702781,0.9012145043838653,8,4,2,SMB,0
MCH-10117,15324.773817931953,0.9302190737546259,27,2,0,Enterprise,0
MCH-10118,116540.67026177805,1.2335542164126738,15,2,1,SMB,0
MCH-10119,43754.995098308595,0.7101101911569769,45,3,0,Mid-Market,0
MCH-10120,87367.4145651783,0.7498435728639719,13,2,0,SMB,0
MCH-10121,118212.13246431157,1.4171059702415003,16,4,0,SMB,0
MCH-10122,24136.535820915924,0.4618467243360695,22,2,0,SMB,0
MCH-10123,10829.608006192542,0.9341977282546745,20,7,1,Mid-Market,1
MCH-10124,17934.337306969068,1.4040808804486482,13,1,0,SMB,0
MCH-10125,32852.88463743072,1.0713993085999727,20,2,0,SMB,0
MCH-10126,90191.48633194725,1.0010477816333454,2,3,0,SMB,0
MCH-10127,103567.24859399167,0.6747185971522908,35,1,0,SMB,0
MCH-10128,5348.820459082533,0.7776030379708931,47,1,1,SMB,0
MCH-10129,40743.80796692779,1.3372532573851623,55,3,0,SMB,0
MCH-10130,32013.666045933565,1.015139944945304,19,2,1,Mid-Market,0
MCH-10131,17558.366913791222,0.966216413132458,45,1,0,SMB,0
MCH-10132,11384.01957728234,0.5095376848940318,37,4,0,SMB,0
MCH-10133,25595.428993121623,0.41763097210063543,58,2,0,Enterprise,0
MCH-10134,148156.0561345575,1.4600537075557543,54,1,0,SMB,0
MCH-10135,24519.19014407372,0.8146847840155258,6,2,0,Enterprise,0
MCH-10136,41572.6402880076,1.0635343683094547,14,3,0,SMB,0
MCH-10137,65704.34884404275,0.48768658050601355,4,1,1,SMB,0
MCH-10138,27598.724948348117,1.1514257142953515,22,0,1,SMB,0
MCH-10139,183389.90691458498,1.4258233795765571,51,1,0,SMB,0
MCH-10140,169100.4932270699,1.0332317782971616,55,0,1,SMB,0
MCH-10141,19503.064749610265,0.5387268546129517,39,1,0,SMB,0
MCH-10142,39382.963923192365,1.0398936802208245,36,2,0,Mid-Market,0
MCH-10143,22896.523003952338,1.2429819344151176,34,1,1,SMB,0
MCH-10144,21762.483819054087,0.8470581902314206,27,4,0,SMB,0
MCH-10145,6879.223888276127,1.3678215227356147,7,1,0,SMB,0
MCH-10146,52024.60354912966,1.113551248693101,3,2,1,Mid-Market,0
MCH-10147,39925.98164148192,1.3891738101181228,47,0,0,SMB,0
MCH-10148,7642.554369019625,1.085855842372071,33,0,0,SMB,0
MCH-10149,21331.296050518467,0.5444167692053067,2,5,1,Mid-Market,1
MCH-10150,124443.04755446702,0.7406608822157081,42,0,0,Enterprise,0
MCH-10151,18693.027607103853,0.6219744430777027,16,0,1,SMB,0
MCH-10152,12826.543049273489,1.3997091474885486,25,1,1,Enterprise,0
MCH-10153,38613.60547368181,1.236440074016231,15,0,1,SMB,0
MCH-10154,217201.84913076297,1.1440382058010066,24,1,0,Enterprise,0
MCH-10155,18857.24067798631,0.731062951594784,15,1,0,Mid-Market,0
MCH-10156,60757.75051486467,0.6024492492552349,31,3,2,Mid-Market,0
MCH-10157,76694.38131197315,1.2320961967878032,14,1,1,Mid-Market,0
MCH-10158,18566.65861679029,0.9215737404669877,54,1,0,SMB,0
MCH-10159,70137.4464246158,0.6483685073656921,14,3,0,SMB,1
MCH-10160,27926.1399632152,1.0782841759818027,6,2,0,SMB,0
MCH-10161,55025.187386588565,0.4443672373522972,14,3,0,SMB,0
MCH-10162,55191.89135688191,0.7587872795410789,17,1,2,SMB,1
MCH-10163,43369.26249761744,0.9154126940502482,18,0,0,Enterprise,0
MCH-10164,9731.457940581047,0.5627541675203465,20,0,0,SMB,0
MCH-10165,95182.23971231485,1.4831199253499237,51,1,1,SMB,0
MCH-10166,24340.51468336983,0.6300071010485757,17,6,0,SMB,0
MCH-10167,15321.605330377826,0.5433884430475922,16,0,0,Mid-Market,0
MCH-10168,7081.48798971726,0.6238883612755861,40,5,0,SMB,0
MCH-10169,49688.92022972917,1.2459672464756968,39,1,0,SMB,0
MCH-10170,61592.58671336744,0.8680562251990271,52,3,1,Mid-Market,0
MCH-10171,5836.347377923531,1.0219575337277917,32,3,0,Mid-Market,0
MCH-10172,40881.52922747442,0.42311007268499684,44,2,0,Mid-Market,0
MCH-10173,17841.207352747882,0.437874439430646,9,2,0,Mid-Market,0
MCH-10174,56806.2170773846,0.8904081048097179,27,2,0,SMB,0
MCH-10175,14580.211126956689,1.298320767521786,46,2,0,Mid-Market,0
MCH-10176,63710.626378385954,1.3737627665783219,52,4,1,SMB,0
MCH-10177,29447.93504905509,0.49537722435520426,33,2,0,SMB,0
MCH-10178,143017.19089021537,0.9921994123111252,10,1,0,SMB,0
MCH-10179,12397.220671963947,1.4045526549071976,17,2,1,SMB,0
MCH-10180,25856.621699758587,0.826770029837675,49,3,1,SMB,0
MCH-10181,11022.214251849822,1.3125224145712056,49,3,0,SMB,0
MCH-10182,134309.5198575362,0.5470652198393798,36,1,0,SMB,0
MCH-10183,109916.6853580497,1.4289339386345787,17,3,1,SMB,0
MCH-10184,19916.368503074445,1.226565649284433,18,3,0,Mid-Market,0
MCH-10185,58938.136952195724,1.435467832065592,52,1,0,SMB,0
MCH-10186,89974.20363196106,1.1442789569077572,23,1,0,Enterprise,0
MCH-10187,45506.6180343254,0.7997443251993698,34,0,0,SMB,0
MCH-10188,42713.970509697305,1.431999289777195,8,1,0,Mid-Market,0
MCH-10189,18843.852271895157,0.7031234539400963,13,2,0,Mid-Market,0
MCH-10190,9886.307023747037,0.7653897742679059,23,4,0,Enterprise,0
MCH-10191,118756.16125972614,1.1708892598019145,57,3,0,SMB,0
MCH-10192,120338.72138242134,1.241847929477925,54,1,0,SMB,0
MCH-10193,55133.495974144236,1.4223438322340693,20,3,0,SMB,0
MCH-10194,25702.325490566196,0.6252826499618305,22,4,0,SMB,0
MCH-10195,26478.380790582196,1.2777978387411464,47,2,0,SMB,0
MCH-10196,69723.2714863559,1.21240065873666,52,3,0,Mid-Market,0
MCH-10197,118704.86745536262,0.4701740118789577,23,1,0,SMB,0
MCH-10198,114056.62846983067,0.8259454553312278,41,0,0,SMB,0
MCH-10199,80678.10959654517,0.7110420027661085,35,1,0,SMB,0
MCH-10200,56365.53467838525,0.7349394667894336,3,1,1,SMB,0
MCH-10201,9394.586309804203,1.481241567510171,34,3,0,Enterprise,0
MCH-10202,13814.710734170574,1.1070551548279206,33,1,0,Mid-Market,0
MCH-10203,119411.52500887528,1.1894437735728496,46,4,0,SMB,0
MCH-10204,51624.69734827948,1.4742794010465103,17,4,0,SMB,0
MCH-10205,5461.98028054972,0.8149219607034026,45,1,0,Enterprise,0
MCH-10206,10349.845071797467,1.2820241852980865,19,1,1,SMB,0
MCH-10207,59458.11936451205,0.877984059634945,30,1,1,Mid-Market,1
MCH-10208,5253.72185258985,1.3564870389964778,23,3,1,Enterprise,0
MCH-10209,13765.790805209952,0.5987232954424335,15,3,1,SMB,0
MCH-10210,44784.89230694658,1.4424547947707076,59,2,0,SMB,0
MCH-10211,63865.76433274063,0.6406488792519677,57,2,0,SMB,0
MCH-10212,57772.07410676243,0.7588425576790248,14,4,2,Enterprise,0
MCH-10213,17697.493365401224,1.2318114575174586,2,1,1,SMB,0
MCH-10214,67270.86444492693,0.8331306557219474,39,2,0,SMB,0
MCH-10215,18541.187952640295,1.0690325144430914,49,2,0,Mid-Market,0
MCH-10216,24681.745445904224,0.8890308511763714,18,2,1,Mid-Market,0
MCH-10217,73617.87758328953,1.2166069307987601,6,3,0,SMB,0
MCH-10218,57438.6907151384,0.651164377605472,59,2,0,SMB,0
MCH-10219,99597.80387317005,0.46430378596056476,32,1,0,SMB,0
MCH-10220,58590.66440848812,0.7299223372203729,21,3,0,SMB,0
MCH-10221,47002.21527936287,0.9217395313552733,40,2,0,SMB,0
MCH-10222,9917.853072420523,0.5848220574119465,28,2,0,Mid-Market,0
MCH-10223,27920.815360351,0.7902770186220276,27,4,0,SMB,0
MCH-10224,20408.00739294156,0.8399813201229254,2,0,0,SMB,0
MCH-10225,18985.010183121063,0.46313102805710094,33,5,0,SMB,0
MCH-10226,185615.4703081463,1.041637973002625,16,1,1,SMB,0
MCH-10227,29969.37485200119,1.3727777707684163,39,1,1,Mid-Market,0
MCH-10228,116302.76056242613,0.5669172042483577,22,2,0,Mid-Market,0
MCH-10229,54866.719286824155,1.0575888147416654,56,1,0,Mid-Market,0
MCH-10230,84191.26263442,1.1312131254019309,43,1,1,Mid-Market,0
MCH-10231,39921.76621943852,0.8612681484612172,47,0,0,Mid-Market,0
MCH-10232,48007.79513207925,1.171207346100697,13,1,0,SMB,0
MCH-10233,38914.67166708467,0.8518046978401133,56,1,1,SMB,0
MCH-10234,15860.744766261925,0.9551010167751784,2,1,1,Mid-Market,0
MCH-10235,69088.09015329019,0.4080883490098697,14,1,1,SMB,0
MCH-10236,21478.868418313148,1.1608921255481577,56,0,0,SMB,0
MCH-10237,6230.82405403443,1.127476946839197,38,3,1,SMB,0
MCH-10238,56848.439314763695,0.44224096505897903,41,1,0,SMB,0
MCH-10239,14746.678511241134,0.8050751181346465,28,2,0,SMB,0
MCH-10240,146054.15736366514,1.4769350248708344,7,1,0,Mid-Market,0
MCH-10241,158878.12063940117,0.8628102188254785,18,1,0,SMB,0
MCH-10242,128175.49423169208,0.9521399456450259,56,1,2,Enterprise,0
MCH-10243,28114.369824868336,1.4009231739756904,41,1,1,SMB,0
MCH-10244,5778.865768597219,1.188988063452332,55,4,0,SMB,0
MCH-10245,136776.17286659448,1.0402771442366459,36,5,0,SMB,0
MCH-10246,32946.913852653066,1.27758514947518,41,1,1,SMB,0
MCH-10247,175042.1008061028,1.3508028931015708,36,0,0,Mid-Market,0
MCH-10248,170686.77380651026,0.9025768789109936,44,3,0,SMB,0
MCH-10249,100869.35085897095,0.922619201425019,4,4,0,SMB,0
MCH-10250,22438.803408608015,0.8246560292170194,57,4,0,SMB,0
MCH-10251,29314.59660493468,1.4633767540203069,30,4,0,SMB,0
MCH-10252,100236.33262390399,1.1668828797193855,24,3,0,SMB,0
MCH-10253,24057.311571535854,0.49154537282887956,20,2,1,SMB,0
MCH-10254,14285.93081478774,1.3492555856443205,46,0,0,SMB,0
MCH-10255,45686.84960301139,0.9286159349198949,56,3,0,Mid-Market,0
MCH-10256,142564.6735403521,0.4756292970647362,31,3,2,Mid-Market,0
MCH-10257,64541.27988789686,1.0046889806796422,24,2,0,SMB,0
MCH-10258,47205.61682178278,0.8588807068732723,7,1,1,SMB,0
MCH-10259,10111.409867466144,1.3655243453488874,26,2,0,Mid-Market,0
MCH-10260,52726.53577588589,0.6243940639703262,13,1,0,Mid-Market,0
MCH-10261,235528.48739231587,1.3091110704414013,54,0,0,SMB,0
MCH-10262,12546.029332113209,1.0134575603039981,8,4,0,SMB,0
MCH-10263,41524.76624907518,0.460071333534816,55,1,1,SMB,0
MCH-10264,109930.43189503973,1.469029831458033,5,4,1,SMB,0
MCH-10265,72501.7124176835,0.96387676851352,44,2,0,SMB,0
MCH-10266,64703.72126508365,0.7199645396547407,13,1,0,SMB,0
MCH-10267,65614.37781122449,0.9163475261881839,29,3,2,Mid-Market,0
MCH-10268,27274.617115747456,1.343643561869238,20,2,0,SMB,0
MCH-10269,22378.10421335476,0.73539343682357,14,1,2,SMB,0
MCH-10270,87868.72536298561,0.6119440361353704,32,0,0,Mid-Market,0
MCH-10271,88066.40995435145,0.5419783716239697,50,0,0,Mid-Market,0
MCH-10272,105897.50236839574,0.7276453382292325,27,4,0,SMB,0
MCH-10273,127230.79809183182,1.258052895744048,56,4,2,SMB,0
MCH-10274,40804.661846645184,0.918789001714788,25,3,0,SMB,0
MCH-10275,39809.218877559964,0.650229764062894,52,1,0,SMB,0
MCH-10276,85047.49661542437,0.5828034995707242,4,1,0,SMB,0
MCH-10277,57485.95374439001,0.7660024241614171,21,4,0,SMB,0
MCH-10278,65527.532425575846,1.4339168101742796,18,1,1,SMB,0
MCH-10279,84430.97374771025,0.777329383849027,39,3,0,Mid-Market,0
MCH-10280,115366.17381733835,1.486936483550099,15,1,0,SMB,0
MCH-10281,25624.12035688271,0.9337535013418918,53,3,1,SMB,0
MCH-10282,28546.839436377817,0.597080310119166,38,2,1,SMB,0
MCH-10283,9934.80195936803,1.3802541009728604,48,2,0,Mid-Market,0
MCH-10284,48170.70133047173,0.9063909104483097,52,3,0,Mid-Market,0
MCH-10285,6830.20521054285,1.180638477854977,24,3,1,Mid-Market,0
MCH-10286,36330.34740910548,1.4820827415300672,8,2,0,Enterprise,0
MCH-10287,44114.7292843563,0.45519288535197144,28,1,2,SMB,0
MCH-10288,21881.533015726123,0.5063640157663238,21,1,0,SMB,0
MCH-10289,49681.62650730876,1.1925024156090318,16,2,1,SMB,0
MCH-10290,6548.753105073727,0.7100075036250193,54,2,0,SMB,0
MCH-10291,6903.174964139469,0.602731536645109,16,3,0,SMB,0
MCH-10292,91467.5684769068,0.44329806780170244,35,0,0,SMB,0
MCH-10293,27329.251210387236,0.42403138318482203,17,4,1,SMB,0
MCH-10294,11794.452064871399,1.25193416343177,9,3,2,SMB,0
MCH-10295,41932.679413950784,0.547876770106505,57,0,0,Enterprise,0
MCH-10296,78482.39702228676,0.914492677568266,35,2,0,SMB,0
MCH-10297,17155.900171495166,1.0664864966974315,52,0,0,SMB,0
MCH-10298,53760.98093282464,0.8711869806257309,29,2,0,SMB,0
MCH-10299,9460.551449494866,0.4298173175698564,39,1,0,Mid-Market,0
MCH-10300,7653.25479551547,1.2618516528466999,18,4,0,Mid-Market,0
MCH-10301,42895.447031276046,0.41156454699581885,12,1,0,SMB,0
MCH-10302,43895.52213473711,1.2380788838152323,19,0,0,SMB,0
MCH-10303,55726.8724102308,1.3826349431669351,48,2,0,Mid-Market,0
MCH-10304,69748.02814583422,0.8761239131628895,22,2,0,SMB,0
MCH-10305,191177.85043499965,0.9890967204075781,59,1,0,Enterprise,0
MCH-10306,41314.55596151781,0.9246817318794192,56,2,0,SMB,0
MCH-10307,24500.98570529894,0.8281294804857827,49,3,2,SMB,1
MCH-10308,84282.69898663432,1.3761669889073964,52,2,2,Mid-Market,0
MCH-10309,20792.573271806865,1.3833268617369896,15,1,0,SMB,0
MCH-10310,33899.17156366506,0.769398001105688,1,0,1,SMB,0
MCH-10311,9085.258429183496,1.0765767294161679,2,2,0,SMB,0
MCH-10312,6283.880477073719,1.4195983183604506,8,2,1,Mid-Market,0
MCH-10313,169368.9961634301,1.458264348835487,22,1,0,SMB,0
MCH-10314,95388.38210575313,0.9598549444642523,25,3,0,SMB,0
MCH-10315,64532.13663996708,0.8981072858127594,2,1,0,SMB,0
MCH-10316,31292.982223257095,0.7065637475213784,51,4,0,Mid-Market,0
MCH-10317,14515.326807105437,1.454759060509451,9,3,1,SMB,0
MCH-10318,13506.037078642707,0.5570957349201542,9,4,0,SMB,0
MCH-10319,19400.29945632918,1.0378125336524975,13,3,0,SMB,0
MCH-10320,44839.53241566573,0.7108052942705028,6,0,0,Mid-Market,0
MCH-10321,67692.4643888388,0.7069091193825763,30,3,1,Mid-Market,0
MCH-10322,58969.517484839926,0.8454654461138074,15,1,0,SMB,0
MCH-10323,21420.613069449795,1.49867222939722,51,0,0,Mid-Market,0
MCH-10324,159905.17492781533,0.4604629375238043,53,2,0,SMB,0
MCH-10325,71950.87024376132,1.0363960000238848,15,3,0,SMB,0
MCH-10326,45411.524096566565,0.4908293738388049,50,3,0,Mid-Market,0
MCH-10327,52301.523601871755,0.5699729129895709,7,0,0,SMB,0
MCH-10328,32201.89327660257,0.8835192359501887,58,0,0,Mid-Market,0
MCH-10329,19233.064613703173,0.9615061444810855,11,3,1,Enterprise,1
MCH-10330,27000.70646615562,0.6846716492009765,40,2,0,SMB,0
MCH-10331,75909.09238783566,0.7481028439618578,38,5,2,SMB,0
MCH-10332,5724.903986040214,0.4956637222815264,40,3,2,Mid-Market,0
MCH-10333,11169.019611998803,0.7335417622286756,2,1,0,SMB,0
MCH-10334,7354.718847626026,1.4632142833185986,51,1,0,SMB,0
MCH-10335,7079.072595864622,1.4391781198397298,48,1,0,SMB,0
MCH-10336,101710.15168078293,0.7683661191506835,39,2,0,SMB,0
MCH-10337,65812.03058503442,1.027939329906638,10,0,0,Mid-Market,0
MCH-10338,37139.229720644624,1.400554930222039,44,4,1,SMB,0
MCH-10339,10147.845922390663,0.40680220490498636,17,0,0,Mid-Market,0
MCH-10340,38825.89828986166,1.2917519273713511,7,2,0,Mid-Market,0
MCH-10341,37072.51660471856,1.443206508067811,54,2,1,SMB,0
MCH-10342,14509.73564001125,0.5004583077669128,40,1,0,SMB,0
MCH-10343,33444.95656511619,0.5775924546362132,39,1,0,Mid-Market,0
MCH-10344,30416.830729160345,1.456820933048491,4,3,0,Mid-Market,0
MCH-10345,52836.12164565673,0.991294158004381,35,2,1,SMB,0
MCH-10346,55405.7268020456,0.4156162979188961,51,5,0,SMB,0
MCH-10347,7318.116201026736,0.6833951986398821,47,1,0,SMB,0
MCH-10348,28469.200232753075,0.8949380416957456,36,4,1,SMB,0
MCH-10349,54156.24973913642,1.1621998021272446,31,2,1,SMB,0
MCH-10350,39971.972630389486,1.2064764159504797,25,2,0,Mid-Market,0
MCH-10351,102067.47265877193,1.4949636642180018,41,2,0,SMB,0
MCH-10352,58748.73820274989,0.7162623193221349,13,4,0,Enterprise,0
MCH-10353,13892.643438365367,0.9920421120553229,18,0,2,Mid-Market,0
MCH-10354,8659.121812812042,0.9866559026455656,21,1,2,SMB,0
MCH-10355,56419.70735544455,0.8462097853919612,48,1,2,SMB,0
MCH-10356,6343.4536333697215,0.5860780832266622,1,3,1,Mid-Market,0
MCH-10357,49067.36889036453,1.475202219502227,36,1,0,Mid-Market,0
MCH-10358,145862.7727693576,1.3386489053332449,50,1,0,Enterprise,0
MCH-10359,47839.12227887722,0.948166331123661,8,3,0,SMB,0
MCH-10360,29565.034611195362,1.0635699649524328,52,2,0,SMB,0
MCH-10361,56541.35789224909,0.6499871589156285,48,6,1,Enterprise,0
MCH-10362,35647.79870255456,0.9981657774309216,21,4,0,SMB,0
MCH-10363,44440.71802881601,1.1644671464336236,43,1,0,Mid-Market,0
MCH-10364,146906.35731164995,0.9666837312252478,52,1,0,SMB,0
MCH-10365,29396.376367509358,1.4893136876434356,53,1,0,Mid-Market,0
MCH-10366,167454.5930753377,1.0724758218724988,53,2,0,SMB,0
MCH-10367,122878.80918849596,0.808071083851386,21,2,0,Mid-Market,0
MCH-10368,15894.8130470225,1.249367230377422,27,7,0,SMB,0
MCH-10369,8594.207765157851,0.5875087627398063,19,3,1,Enterprise,0
MCH-10370,10311.26677408151,0.8229673950768932,23,1,0,SMB,0
MCH-10371,5919.494392361685,0.7816548454153445,51,1,2,SMB,0
MCH-10372,9960.250582787707,0.8749878046185551,50,1,0,SMB,0
MCH-10373,62443.743628858356,1.259957808521599,51,1,1,Mid-Market,0
MCH-10374,8692.48134732135,0.9325903353797482,43,2,1,SMB,1
MCH-10375,24207.859414743423,1.2734158952925592,35,2,0,SMB,0
MCH-10376,98176.30200486386,1.0341377934538527,40,1,0,SMB,0
